step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
670.0,59,2324.0,38.09836065573771,0.40901424510245743,59,3557.0,0.0,59,3557.0,False,,
675.0,59,2619.0,36.375,2.204860548943601,59,3852.0,0.15098855263759464,59,3852.0,False,,
680.0,63,2918.0,41.098591549295776,0.6559787375713201,63,4151.0,0.049526675580661435,63,4151.0,False,,
685.0,67,3165.0,44.57746478873239,0.13934994338006826,67,4216.0,0.007313072380712887,67,4216.0,False,,
690.0,59,3050.0,42.95774647887324,0.8502201578506051,59,4279.0,0.02704211603182118,59,4279.0,False,,
695.0,50,2966.0,41.774647887323944,2.285323612126849,50,3939.0,0.04973189293506043,50,3939.0,False,,
700.0,42,2656.0,32.79012345679013,3.389307217155999,42,3851.0,0.16791925273584893,42,3851.0,False,,
705.0,39,1954.0,25.710526315789473,2.534733348442436,39,3777.0,0.1214733209910593,39,3777.0,False,,
710.0,46,2122.0,29.068493150684933,2.3682094276011414,46,3451.0,0.05798074983253322,46,3451.0,False,,
715.0,52,2374.0,33.436619718309856,2.48691114255503,52,3570.0,0.016486597920609972,52,3570.0,False,,
720.0,55,2587.0,38.61194029850746,1.810777881278312,55,3783.0,4.298100565629983e-05,55,3783.0,False,,
725.0,53,2831.0,38.25675675675676,2.6421430445701404,53,4027.0,0.10437211642421719,53,4027.0,False,,
730.0,60,3114.0,45.130434782608695,1.4547265661195103,60,4312.0,0.05438927145436369,60,4312.0,False,,
735.0,61,3419.0,51.02985074626866,0.8032869419511479,61,4617.0,0.000480303361503381,61,4617.0,False,,
740.0,61,3650.0,56.15384615384615,0.5011208265853554,61,4683.0,9.618738340465548e-07,61,4683.0,False,,
745.0,51,3551.0,50.014084507042256,2.2852243115084145,51,4619.0,0.1243023650597824,51,4619.0,False,,
750.0,48,3514.0,46.85333333333333,2.9555519621263495,48,4400.0,0.10996764598860026,48,4400.0,False,,
755.0,41,3530.0,48.35616438356164,3.975621933172465,41,4247.0,0.1520204322736185,41,4247.0,False,,
760.0,43,3734.0,55.73134328358209,3.7808748358540254,43,4210.0,0.12413868404733283,43,4210.0,False,,
765.0,44,3954.0,64.81967213114754,3.508289482673146,44,4257.0,0.0934077688435191,44,4257.0,False,,
770.0,43,3854.0,59.292307692307695,3.3763521804480074,43,4042.0,0.1425936202488186,43,4042.0,False,,
775.0,36,2477.0,41.983050847457626,3.5660268232072934,36,3496.0,0.16659921282689974,36,3496.0,False,,
780.0,26,1269.0,22.660714285714285,3.5111545287683845,26,2953.0,0.1151001091981695,26,2953.0,False,,
785.0,24,464.0,8.754716981132075,3.0013859233608056,24,2984.0,0.10118347533879404,24,2984.0,False,,
790.0,20,222.0,4.625,2.743067302263339,20,3026.0,0.11909491956900413,20,3026.0,False,,
795.0,26,338.0,5.827586206896552,3.866847416494039,26,3132.0,0.20470993574833413,26,3132.0,False,,
800.0,30,422.0,7.275862068965517,3.084696897257885,30,3208.0,0.17905596424924533,30,3208.0,False,,
805.0,32,431.0,7.696428571428571,1.442008853536857,32,3291.0,0.06316795953359941,32,3291.0,False,,
810.0,42,630.0,11.25,2.5242873474938783,42,3412.0,0.027427753977002662,42,3412.0,False,,
815.0,44,848.0,15.703703703703704,2.399527698264256,44,3630.0,3.827374182218183e-05,44,3630.0,False,,
820.0,46,1070.0,18.135593220338983,2.7478632943645986,46,3852.0,0.1375827157913769,46,3852.0,False,,
825.0,46,1300.0,24.074074074074073,1.8411267452110531,46,4082.0,0.13779709560419137,46,4082.0,False,,
830.0,49,1533.0,28.38888888888889,0.9714861817978596,49,4315.0,0.01928417206344149,49,4315.0,False,,
835.0,50,1783.0,33.01851851851852,0.9473880940838995,50,4565.0,0.0,50,4565.0,False,,
